Tweets,News
"Indian natural rubber output rises 23% 2016-17, exceeds target. via NM App",[u'http://www.hindustantimes.com/tech/apple-falls-70-short-of-its-iphone-sales-target-in-india-bofa-report/story-wKQtqWKnlFY8k4xd3SIXiJ.html']
Chief Minister Jammu Kashmir @ Mehbooba Mufti meets PM @narendramodi.,[u'http://www.news18.com/news/india/no-option-but-to-talk-mehbooba-discusses-valley-violence-with-modi-1381851.html']
Coming together new India.,[u'http://www.news18.com/news/world/people-coming-together-uniting-post-brexit-says-theresa-may-1374955.html']
A roadmap towards developed India.,[u'http://www.hindustantimes.com/noida/noida-jewar-mla-asks-for-dankaur-to-be-developed-as-a-tourist-destination/story-Msm1IY5y9Erakgbjmd7GRL.html']
PM @narendramodi chairing 3rd Governing Council Meet @NITI Aayog New Delhi.,[u'http://www.news18.com/news/india/three-year-action-agenda-presented-at-niti-aayog-meet-1381317.html']
"Sabka Saath, Sabka Vikas.",[u'http://www.news18.com/news/books/jlf-2015-day-1-behind-the-scenes-celebrity-chef-vikas-khanna-has-a-new-catchphrase-vishal-bhardwajs-unassuming-ways-737214.html']
Boosting cooperation India EU.,[u'http://www.news18.com/news/india/eu-foreign-policy-chief-holds-talks-with-sushma-swaraj-1380185.html']
During meeting @ Federica Mog &amp; PM discussed regional global developments mutual interest.,[u'http://www.news18.com/news/india/eu-foreign-policy-chief-holds-talks-with-sushma-swaraj-1380185.html']
PM speaking programme # Civil Services Day. Watch speech.,[u'http://www.news18.com/news/india/i-came-at-940-so-why-did-event-start-at-957-rajnath-singh-pulls-up-babus-1378713.html']
The Prime Minister may refer ideas # Mann Ki Baat programme. via NM App,[u'http://www.hindustantimes.com/gurgaon/gurgaon-parents-take-fee-hike-issue-to-pm-modi-s-mann-ki-baat/story-yB3hDnzwET5BpDtK02IxdK.html']
Contribute ideas &amp; insights # Mann Ki Baat NM Mobile App. via NM App,[u'http://www.hindustantimes.com/gurgaon/gurgaon-parents-take-fee-hike-issue-to-pm-modi-s-mann-ki-baat/story-yB3hDnzwET5BpDtK02IxdK.html']
You also dial toll free number 1800-11-7800 record message # Mann Ki Baat.,[u'http://www.hindustantimes.com/gurgaon/gurgaon-parents-take-fee-hike-issue-to-pm-modi-s-mann-ki-baat/story-yB3hDnzwET5BpDtK02IxdK.html']
"This month's # Mann Ki Baat take place Sunday, 30th April 2017 11 AM. Share ideas My Gov.",[u'http://www.hindustantimes.com/gurgaon/gurgaon-parents-take-fee-hike-issue-to-pm-modi-s-mann-ki-baat/story-yB3hDnzwET5BpDtK02IxdK.html']
"PM announced ex gratia Rs. 2 lakhs next kin killed &amp; Rs. 50,00 seriously injured, bus accident HP.",[u'http://zeenews.india.com/internet-social-media/bsnls-bumper-plan-get-unlimited-calling-3gb-data-per-day-at-just-rs-333-1998449.html']
India jumps 8th place Global FDI Confidence Index. via NM App,[u'http://www.hindustantimes.com/india-news/pm-modi-launches-aadhaar-linked-bhim-app-on-ambedkar-s-birth-anniversary/story-JwXr62Wwx7ZIgYKkhAognI.html']
How Mudra Yojna encouraging women entrepreneurs. via NM App,[u'http://www.hindustantimes.com/travel/delhi-women-on-a-travel-trail-a-sneak-peek-into-celebrity-travelogues/story-QZTKIcNQl2XgPYRxAChBeM.html']
Swachh Bharat Mission taking rapid strides NDA Government. via NM App,[u'http://www.hindustantimes.com/tech/pm-modi-to-launch-bhim-aadhaar-app-on-april-14-push-indians-to-less-cash/story-66vF4OzoTnuMcxYtwOpftJ.html']
""" Was surprised get letter PM response book I sent him."" via NM App",[u'http://www.news18.com/news/movies/poonam-pandeys-app-gets-banned-by-google-1377269.html']
"Use kerosene, diesel falls, LPG consumption rises clean energy drive. via NM App",[u'http://www.news18.com/news/movies/nawazuddin-siddiqui-lauds-rishi-kapoor-for-his-amazing-energy-1377975.html']
